truth,plugin_estimate_riesz,plugin_estimate_propensity,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.125159491300582904e+00,2.222623708188533609e+00,2.191872586424782554e+00,7.608376194325066955e+00,2.020909613860196963e+00,2.362835558989368145e+00,2.135016983521869527e+00,7.485597469928252146e+00,1.965439062669901427e+00,2.304594904373837849e+00
2.121539888279284192e+00,2.302777809977531565e+00,2.377976724743843029e+00,2.376439619043841933e+00,8.056326933437864213e+00,2.200515812958665052e+00,2.552363425129018815e+00,2.295632356324822876e+00,7.251530074621427957e+00,2.128726760448993449e+00,2.462537952200652303e+00
2.121539888279284192e+00,1.922828097462654151e+00,1.961203238487243761e+00,1.955731697388924717e+00,6.030122905898918084e+00,1.803530120014374294e+00,2.107933274763475140e+00,1.921281263848941823e+00,6.960430465488874674e+00,1.757760042974640502e+00,2.084802484723243143e+00
2.121539888279284192e+00,2.211104976892471097e+00,2.209903732180595437e+00,2.133942318016023076e+00,1.006143000861316672e+01,1.937341225645994980e+00,2.330543410386051395e+00,2.192507669765131340e+00,8.150876016868231488e+00,2.015554553639980817e+00,2.369460785890281862e+00
2.121539888279284192e+00,2.009746898889541722e+00,2.069797027111053289e+00,2.054072021785657842e+00,8.629489582499267897e+00,1.871997731507955010e+00,2.236146312063360675e+00,2.027942047977471240e+00,7.430166670264120476e+00,1.858993155467083325e+00,2.196890940487859378e+00
2.121539888279284192e+00,2.081142672777176017e+00,2.109015656113624626e+00,2.131505469991010759e+00,5.714922373544845335e+00,1.983335143035139136e+00,2.279675796946882382e+00,2.088338271214423170e+00,6.383610545656396518e+00,1.931739170731075594e+00,2.244937371697770967e+00
2.121539888279284192e+00,2.024885575652122682e+00,2.036992932558059799e+00,1.980440726376895499e+00,6.570206749248004741e+00,1.821569375127177981e+00,2.139312077626613018e+00,2.021593473289510445e+00,7.468936770923718882e+00,1.852204372402881383e+00,2.190982574176139508e+00
2.121539888279284192e+00,2.180598911046981669e+00,2.222105670928955057e+00,2.167703051447401830e+00,7.618844021914401132e+00,1.996622511365876651e+00,2.338783591528927008e+00,2.192759431759593980e+00,7.671361181021596032e+00,2.021090269959890939e+00,2.364428593559297020e+00
2.121539888279284192e+00,2.211098934173584052e+00,2.242049132227897701e+00,2.202436223164259133e+00,8.139350615839861192e+00,2.025608257825599168e+00,2.379264188502919097e+00,2.226705744375241824e+00,7.475737524687838587e+00,2.057239543394512982e+00,2.396171945355970667e+00
2.121539888279284192e+00,2.096383668065071149e+00,2.104124969601631090e+00,2.063821516274008783e+00,7.746000170480466629e+00,1.891319243086326596e+00,2.236323789461691192e+00,2.084100676178751943e+00,7.083366712223329031e+00,1.919141706850991058e+00,2.249059645506512606e+00
2.121539888279284192e+00,2.000214577555656348e+00,1.983663600921630854e+00,1.948811010404256860e+00,6.811083369294953727e+00,1.787053606025095664e+00,2.110568414783418056e+00,2.000988066898273132e+00,7.512876222711843965e+00,1.831101442065210305e+00,2.170874691731335737e+00
2.121539888279284192e+00,2.114780961632728662e+00,2.102890504360198864e+00,2.086097118389792726e+00,6.795966526337988256e+00,1.924519319767642900e+00,2.247674917011942775e+00,2.083417598650674218e+00,6.766304356732810277e+00,1.922192802738802220e+00,2.244642394562545995e+00
2.121539888279284192e+00,2.144563292026519630e+00,2.185969158589839978e+00,2.159335215133149966e+00,6.526474163601357681e+00,2.000993486119945874e+00,2.317676944146354057e+00,2.149647947223856104e+00,6.543887409228307916e+00,1.991095123624616825e+00,2.308200770823095382e+00
2.121539888279284192e+00,2.106878984689712464e+00,2.147356214880943082e+00,2.100313422108767369e+00,6.075053522782958737e+00,1.947545867919001639e+00,2.253080976298533322e+00,2.104524429990444201e+00,6.957574227286335677e+00,1.941036763325514336e+00,2.268012096655374066e+00
2.121539888279284192e+00,2.024145655751228290e+00,2.093758622229099142e+00,2.084287514803887298e+00,6.487893448244672179e+00,1.926414491551728281e+00,2.242160538056046093e+00,2.038589374010508326e+00,7.127242382106154572e+00,1.873120300358967594e+00,2.204058447662049058e+00
2.121539888279284192e+00,2.146478445112705025e+00,2.166838418006896916e+00,2.140265210594050505e+00,5.913460606556747656e+00,1.989543114449694894e+00,2.290987306738406115e+00,2.136357825490093010e+00,6.647949799407120608e+00,1.976549302721742452e+00,2.296166348258443346e+00
2.121539888279284192e+00,2.027649703443050289e+00,2.040420702219009286e+00,2.055011637760500776e+00,5.457456125775533629e+00,1.910217427058624740e+00,2.199805848462376812e+00,2.009458716838998793e+00,6.848122465229169009e+00,1.847262085362187944e+00,2.171655348315809420e+00
2.121539888279284192e+00,2.141068415164947503e+00,2.132021638989448409e+00,2.164285314974826679e+00,6.657416854667537187e+00,2.004363044515422576e+00,2.324207585434230783e+00,2.124768445079156631e+00,6.403373989185529247e+00,1.967927119157526050e+00,2.281609771000787212e+00
2.121539888279284192e+00,1.946215502619743409e+00,1.953073193132877305e+00,1.928721222966647497e+00,6.118483558343871032e+00,1.775408580181605744e+00,2.082033865751689028e+00,1.935434522925672862e+00,6.644732814126189879e+00,1.775664671017538554e+00,2.095204374833807393e+00
2.121539888279284192e+00,1.913516409873962321e+00,1.933155057191848769e+00,1.917693198167225388e+00,6.325655339209247607e+00,1.761806580553312740e+00,2.073579815781138258e+00,1.908708916761097774e+00,7.051218255357048825e+00,1.744124713236641533e+00,2.073293120285554014e+00
2.121539888279284192e+00,2.110110207378864455e+00,2.117668705761432513e+00,2.104752042871666173e+00,5.944047610930859982e+00,1.953640649184254396e+00,2.255863436559077950e+00,2.096130197217135116e+00,6.514720144907396815e+00,1.937931117230315081e+00,2.254329277203955151e+00
2.121539888279284192e+00,1.950947704136371641e+00,1.974742572665214579e+00,1.929558277658186549e+00,9.045205011400248907e+00,1.743149963541580805e+00,2.115966591774792516e+00,1.952394707845756638e+00,7.458000639339028126e+00,1.783129663444720236e+00,2.121659752246793040e+00
2.121539888279284192e+00,1.946834699034690752e+00,1.953465192973613762e+00,1.960062466806965054e+00,5.390112309658307232e+00,1.816164393683023182e+00,2.103960539930906926e+00,1.982488449993077273e+00,6.097550129286514853e+00,1.829438299465000028e+00,2.135538600521154518e+00
2.121539888279284192e+00,2.185840170145034733e+00,2.186535615801811439e+00,2.187982127368392593e+00,7.497157141352057685e+00,2.018273321249741237e+00,2.357690933487043949e+00,2.139768472736228500e+00,8.174851701523405012e+00,1.962555295188473048e+00,2.316981650283984173e+00
2.121539888279284192e+00,2.235433488011360215e+00,2.259484845280647303e+00,2.253546605659648705e+00,6.696783642010963433e+00,2.093152204139055339e+00,2.413941007180242071e+00,2.221960081295226708e+00,7.976554081810332875e+00,2.046909431023133941e+00,2.397010731567319475e+00
2.121539888279284192e+00,2.051574960768222766e+00,2.107484093606471820e+00,2.113628773632459268e+00,5.806746212241711724e+00,1.964272835521690519e+00,2.262984711743227795e+00,2.077103992870542370e+00,7.697303916918517785e+00,1.905144803737672365e+00,2.249063182003412376e+00
2.121539888279284192e+00,2.025420680403709373e+00,2.086991950750351155e+00,2.124313914446626317e+00,1.430385169786206134e+01,1.889900440681770100e+00,2.358727388211482534e+00,2.035255863492668293e+00,7.996479872783717191e+00,1.859986707394722938e+00,2.210525019590613649e+00
2.121539888279284192e+00,2.094768445074558283e+00,2.121495585858821809e+00,2.120579914440633651e+00,6.486339629926005657e+00,1.962725797223743296e+00,2.278434031657524006e+00,2.086484323103678928e+00,7.428760566689835976e+00,1.917551417508008615e+00,2.255417228699349241e+00
2.121539888279284192e+00,2.066691806197166414e+00,2.055634043216705287e+00,2.057005590440865728e+00,6.519239067286743072e+00,1.898751652730334305e+00,2.215259528151396928e+00,2.059986547574226279e+00,7.117712015935993008e+00,1.894628141436468294e+00,2.225344953711984264e+00
2.121539888279284192e+00,2.125573926806449965e+00,2.161976315975189245e+00,2.102880809585562893e+00,1.001191128149769760e+01,1.906764113766462376e+00,2.298997505404663411e+00,2.102260757372528932e+00,8.110682547281140131e+00,1.925744474628881653e+00,2.278777040116175989e+00
2.121539888279284192e+00,2.137680123209953376e+00,2.143102584362030161e+00,2.149557458760682493e+00,9.019236429562756285e+00,1.963416924035415567e+00,2.335697993485949198e+00,2.143773085581317961e+00,7.139298943571777301e+00,1.978164115952178115e+00,2.309382055210457807e+00
2.121539888279284192e+00,2.221952992320060716e+00,2.260322973966598425e+00,2.266383349940821024e+00,1.530384936341662971e+01,2.023914243218951636e+00,2.508852456662690411e+00,2.204204959285904764e+00,8.554649607155115021e+00,2.022921915592218234e+00,2.385488002979591293e+00
2.121539888279284192e+00,1.924890636563301172e+00,1.910091370224952678e+00,1.900861054336419720e+00,4.943355041023965946e+00,1.763055420469013423e+00,2.038666688203826016e+00,1.895299271216819958e+00,5.990554403879122525e+00,1.743597874394173575e+00,2.047000668039466564e+00
2.121539888279284192e+00,2.136821531653404271e+00,2.131650348961353192e+00,2.139226154004921998e+00,5.553215812518446981e+00,1.993167145842567045e+00,2.285285162167276951e+00,2.129198686800735985e+00,7.044587558866316712e+00,1.964691885828433238e+00,2.293705487773038953e+00
2.121539888279284192e+00,1.920897595763206400e+00,1.944535394072532730e+00,2.043988653304986247e+00,1.674392877183383632e+01,1.790367919196205415e+00,2.297609387413766857e+00,1.915876533738570808e+00,8.544252214224968611e+00,1.734703690005944487e+00,2.097049377471197129e+00
2.121539888279284192e+00,2.011252702355384780e+00,1.993102751493454061e+00,2.044542127295280398e+00,8.869953208094106145e+00,1.859948486439983562e+00,2.229135768150577235e+00,1.994674293928488940e+00,7.343806034865648869e+00,1.826710115415509872e+00,2.162638472441468007e+00
2.121539888279284192e+00,2.242002413034438923e+00,2.241811326384544500e+00,2.219039961447938580e+00,7.143886373630082609e+00,2.053377793488753156e+00,2.384702129407124005e+00,2.228419877141714078e+00,7.782028018201955888e+00,2.055516901936760732e+00,2.401322852346667425e+00
2.121539888279284192e+00,2.165471957802772351e+00,2.179650918841362195e+00,2.198923223739402744e+00,6.413354328925004566e+00,2.041959718458722151e+00,2.355886729020083337e+00,2.157186806777375843e+00,7.457933943041760827e+00,1.987922519239841090e+00,2.326451094314910595e+00
2.121539888279284192e+00,2.124765277504920835e+00,2.134872901678085189e+00,2.111011304651853049e+00,6.974261733449908185e+00,1.947327695590893137e+00,2.274694913712813182e+00,2.118857724779546814e+00,6.968652785960947504e+00,1.955239949025970425e+00,2.282475500533123203e+00
2.121539888279284192e+00,2.143304353952407926e+00,2.154857256531715226e+00,2.133253174570854949e+00,7.062833718963655194e+00,1.968533467144054416e+00,2.297972881997655481e+00,2.158736047000100911e+00,7.009085998443905119e+00,1.994644289828626516e+00,2.322827804171575306e+00
2.121539888279284192e+00,2.302428935885429517e+00,2.264758073329925736e+00,2.282674157277244653e+00,6.587870458358507264e+00,2.123589390084310580e+00,2.441758924470178727e+00,2.284156199213875027e+00,7.824496482428472177e+00,2.110782078633849590e+00,2.457530319793900464e+00
2.121539888279284192e+00,2.107373673796653968e+00,2.151350668132305355e+00,2.117489704982843168e+00,5.649069042795252571e+00,1.970175538539821636e+00,2.264803871425864479e+00,2.110158790605317858e+00,6.845138999402458957e+00,1.947997494421226827e+00,2.272320086789408666e+00
