truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,2.000000000000000000e+03,8.561303396707155011e-01,7.695848243565791558e-01,1.490095473812357163e+01,6.004051746909420118e-01,9.387644740222162998e-01,9.154936782285900687e-01,1.165166659555417539e+01,7.658924710251038270e-01,1.065094885432076310e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.650269648436657910e-01,1.058670527192548061e+00,2.848942609708736029e+01,8.247421414688710373e-01,1.292598912916224752e+00,1.072270458591662257e+00,1.517779695784857985e+01,9.015264619281321279e-01,1.243014455255192274e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.841878338390344094e-01,1.046957778653838878e+00,7.866547124637934374e+00,9.240347795161487632e-01,1.169880777791528770e+00,1.081602501023261498e+00,1.342866468954965953e+01,9.209980828533774755e-01,1.242206919193145520e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.127154802158079727e-01,8.634974587549614222e-01,1.168304206182171967e+01,7.136949648092759668e-01,1.013299952700646767e+00,8.919764592598371511e-01,1.213254009765433139e+01,7.393193827138269114e-01,1.044633535805847169e+00
1.000000000000000000e+00,2.000000000000000000e+03,8.450226204805809660e-01,9.412286658699066111e-01,1.037471224262590752e+01,8.000629927208161574e-01,1.082394339018997176e+00,8.857838332645612267e-01,1.466353230567965049e+01,7.179573965725147833e-01,1.053610269956607670e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.188235690525592414e-01,9.335619866980440218e-01,2.220317344124550374e+01,7.270484143935963539e-01,1.140075559002491801e+00,9.673642218883472532e-01,1.521689580972438804e+01,7.964004436447713609e-01,1.138328000131923146e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.579553095830272147e-01,9.265274420672766631e-01,1.724847035653156269e+01,7.445085917774624251e-01,1.108546292357091012e+00,1.052379064017159083e+00,1.355839279940140329e+01,8.910007479734902702e-01,1.213757380060827895e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.973903661268640475e-01,1.129803200718895173e+00,1.551589343147112032e+01,9.571679548877798371e-01,1.302438446550010731e+00,1.130533304816401241e+00,1.253204899280197537e+01,9.753831849151456401e-01,1.285683424717656731e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.752279623091900662e-01,9.654678634650170066e-01,8.578475137152086205e+00,8.371030121877232055e-01,1.093832714742310364e+00,1.076084340556595187e+00,1.282762953738771117e+01,9.191152008653351579e-01,1.233053480247855216e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.041911070674796491e+00,1.096154846367356273e+00,1.354859895583559037e+01,9.348348263005059611e-01,1.257474866434206362e+00,1.138661184684659489e+00,1.349464660837146468e+01,9.776626840538774621e-01,1.299659685315441404e+00
