truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.143013051509857103e+00,2.171481862149201358e+00,5.402212153148346019e+00,2.027422366774773721e+00,2.315541357523628996e+00
2.121539888279284192e+00,2.025238281846046373e+00,2.096052719900850292e+00,5.267542363401116035e+00,1.953800160193681190e+00,2.238305279608019394e+00
2.121539888279284192e+00,2.052642195582389917e+00,2.155761412005755329e+00,6.076956869580772747e+00,2.002969928243794495e+00,2.308552895767716162e+00
2.121539888279284192e+00,2.071014240026474162e+00,2.017904229405336647e+00,6.763868489915894067e+00,1.856708456536253937e+00,2.179100002274419356e+00
2.121539888279284192e+00,1.966064557313919048e+00,1.976105000509881027e+00,6.424182734556212360e+00,1.819009041322283915e+00,2.133200959697477916e+00
2.121539888279284192e+00,2.191984895586967408e+00,2.067960655585746377e+00,6.922268266732062969e+00,1.904888322636598019e+00,2.231032988534894734e+00
2.121539888279284192e+00,2.039020641565322922e+00,2.074434700376645235e+00,6.317864250577331475e+00,1.918644112390663681e+00,2.230225288362627012e+00
2.121539888279284192e+00,2.248199385523796057e+00,2.149588844980579339e+00,6.010079602174529967e+00,1.997640426760073806e+00,2.301537263201085093e+00
2.121539888279284192e+00,2.171273668289184666e+00,2.201054760608152527e+00,5.974669769306631295e+00,2.049554624021519889e+00,2.352554897194785166e+00
2.121539888279284192e+00,2.128181577324867124e+00,2.146394501824396617e+00,5.429652108526692444e+00,2.001969602516430413e+00,2.290819401132362820e+00
2.121539888279284192e+00,2.082472076177597220e+00,2.030886384037905668e+00,5.989439278143674272e+00,1.879199107277734537e+00,2.182573660798076798e+00
2.121539888279284192e+00,2.000561822533607703e+00,2.054438274000073505e+00,6.594913181137511238e+00,1.895268495220752802e+00,2.213608052779393986e+00
2.121539888279284192e+00,2.017547761678695650e+00,2.088524918869457903e+00,5.914374697023205840e+00,1.937791174020852880e+00,2.239258663718062703e+00
2.121539888279284192e+00,2.022568751335144022e+00,2.012225185231770741e+00,6.268685620170774797e+00,1.857042123403335188e+00,2.167408247060206072e+00
2.121539888279284192e+00,2.182200720429420482e+00,2.154807200644464071e+00,7.489180554551354341e+00,1.985188699240977739e+00,2.324425702047950182e+00
