truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
4.050867557525634766e+00,4.109544754028320312e+00,4.075545586211656079e+00,5.390641619117297445e+00,3.909044910460965916e+00,4.242046261962346243e+00
9.512514114379882812e+00,8.917022705078125000e+00,9.172803959091680781e+00,5.380474841047202972e+02,7.509368048283455721e+00,1.083623986989990584e+01
3.813905715942382812e+00,3.735949277877807617e+00,3.712142508333907909e+00,6.671704758431432403e+00,3.526911291341972454e+00,3.897373725325843363e+00
4.018697738647460938e+00,3.981514692306518555e+00,3.958363460761091801e+00,9.392359591751255010e+00,3.738586012759339994e+00,4.178140908762843608e+00
5.856798171997070312e+00,5.993754863739013672e+00,6.013028861133355107e+00,7.306703543855024918e+01,5.400034451392826895e+00,6.626023270873883320e+00
3.998421669006347656e+00,3.766530990600585938e+00,3.858290301514059717e+00,5.972063337642174119e+00,3.683040323168396135e+00,4.033540279859723299e+00
3.837826490402221680e+00,3.784558773040771484e+00,3.694230142923852878e+00,1.174217431992409288e+01,3.448493437069169776e+00,3.939966848778535979e+00
3.996880769729614258e+00,4.018773078918457031e+00,3.961361044388624020e+00,8.725932949005438033e+00,3.749524098628711943e+00,4.173197990148536540e+00
3.996414661407470703e+00,3.840364933013916016e+00,3.954811981603564952e+00,1.240955587534131688e+01,3.702188398977270811e+00,4.207435564229858649e+00
5.159478187561035156e+00,5.173832893371582031e+00,5.088830804783468054e+00,4.939895232746916065e+01,4.584802832209701862e+00,5.592858777357234246e+00
4.146531581878662109e+00,3.964476346969604492e+00,3.880898399356345951e+00,9.060704837922404664e+00,3.665036118326745473e+00,4.096760680385946429e+00
4.017841339111328125e+00,4.103407382965087891e+00,3.988274423831137394e+00,1.878397902021959709e+01,3.677468299600068047e+00,4.299080548062207185e+00
4.195672512054443359e+00,4.179294109344482422e+00,4.177383692021864547e+00,8.049598819454233833e+00,3.973921889085530790e+00,4.380845494958198749e+00
3.970606088638305664e+00,3.923213720321655273e+00,4.135914792405214868e+00,1.205042739494215809e+01,3.886973468048578351e+00,4.384856116761851830e+00
9.524009704589843750e+00,9.081448554992675781e+00,9.487165192258309787e+00,5.926066481212902772e+02,7.741427334339405775e+00,1.123290305017721380e+01
2.972411155700683594e+00,2.823284626007080078e+00,2.856370496666626124e+00,1.337246819435344776e+02,2.027089798242085461e+00,3.685651195091166787e+00
4.152459144592285156e+00,3.879250288009643555e+00,3.825517550010920864e+00,2.166510199288835281e+01,3.491725384243732577e+00,4.159309715778109151e+00
2.554089307785034180e+00,2.761054754257202148e+00,2.419951197290431288e+00,2.308629561642293595e+02,1.330336640333890985e+00,3.509565754246971814e+00
-6.039524078369140625e-01,-1.364432215690612793e+00,-8.936192578907433681e-01,5.911865342560953422e+02,-2.637264130880472290e+00,8.500256150989855541e-01
5.888222694396972656e+00,5.921590805053710938e+00,5.929702106332144673e+00,3.464448081701991669e+02,4.594912552619781820e+00,7.264491660044507526e+00
4.912479877471923828e+00,4.712070941925048828e+00,4.647426706293446230e+00,1.688263004284258173e+01,4.352770344435923811e+00,4.942083068150968650e+00
3.982511043548583984e+00,3.796949625015258789e+00,3.660918516513811838e+00,1.250672724556598858e+01,3.407307794918976285e+00,3.914529238108647391e+00
3.946067810058593750e+00,5.300895214080810547e+00,4.092163958918388467e+00,4.661249094401664905e+01,3.602557738965545209e+00,4.581770178871231280e+00
3.945005178451538086e+00,3.849798917770385742e+00,4.030339242523270471e+00,1.649553468255076538e+01,3.739080500736318147e+00,4.321597984310223239e+00
3.917155981063842773e+00,3.531183242797851562e+00,3.578454409768438982e+00,7.057180694780390340e+00,3.387947211883753695e+00,3.768961607653124268e+00
3.569846153259277344e+00,3.346275806427001953e+00,3.474167099142436932e+00,2.599038507669170173e+01,3.108570516565054564e+00,3.839763681719819299e+00
