truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
4.499260902404785156e+00,4.543379783630371094e+00,4.468643355994762700e+00,7.862948482777277981e+00,4.267554276746065689e+00,4.669732435243459712e+00
3.781438350677490234e+00,3.855473995208740234e+00,3.896602558966162366e+00,1.266122476160639820e+01,3.641430199325176531e+00,4.151774918607148201e+00
3.298717021942138672e+00,3.380946636199951172e+00,3.335140618587902672e+00,2.913725365637992937e+01,2.948043375900335050e+00,3.722237861275470294e+00
4.826760292053222656e+00,5.390657901763916016e+00,4.301528344346631449e+00,5.337991320371218507e+01,3.777584548548076793e+00,4.825472140145185662e+00
5.066412925720214844e+00,4.831394672393798828e+00,5.023700284604079691e+00,3.789123125377373924e+01,4.582266946244984318e+00,5.465133622963175064e+00
3.841778993606567383e+00,3.877438783645629883e+00,3.835305726522718839e+00,1.006176283953503692e+01,3.607831179571814761e+00,4.062780273473623360e+00
4.395375251770019531e+00,4.100747585296630859e+00,4.214513294583615455e+00,2.263151482008982285e+01,3.873357633360549279e+00,4.555668955806681630e+00
3.904749631881713867e+00,3.741968631744384766e+00,3.838808129805419522e+00,9.810285502990090833e+00,3.614194247847390518e+00,4.063422011763448083e+00
4.306119918823242188e+00,4.487342834472656250e+00,4.425379122611773575e+00,8.623845509273058596e+00,4.214784996176774712e+00,4.635973249046772438e+00
4.350611209869384766e+00,4.182264804840087891e+00,4.268032921616697450e+00,1.893624106895910231e+01,3.955969649940152877e+00,4.580096193293242024e+00
5.791394233703613281e+00,1.011139297485351562e+01,5.379598856605639412e+00,3.178429413281236862e+02,4.101094960094145314e+00,6.658102753117133510e+00
4.431848049163818359e+00,4.548501968383789062e+00,4.340385039461966521e+00,5.164488310473684152e+01,3.825026567458703397e+00,4.855743511465229645e+00
3.740272283554077148e+00,3.816866397857666016e+00,3.796714657416366823e+00,8.019141917586981805e+00,3.593638133863109374e+00,3.999791180969624271e+00
4.031430244445800781e+00,4.554131031036376953e+00,4.080558149356662945e+00,1.179500243169140106e+01,3.834269278406451154e+00,4.326847020306874292e+00
4.085419654846191406e+00,4.107351303100585938e+00,4.137079025404291066e+00,7.123418496335293781e+00,3.945679877384208556e+00,4.328478173424374020e+00
4.524155616760253906e+00,4.075696468353271484e+00,4.090235337359935386e+00,1.603876582050250121e+01,3.803037448187847502e+00,4.377433226532023269e+00
4.242028713226318359e+00,4.095338344573974609e+00,4.013154831749213614e+00,6.285519481101420780e+00,3.833364489628327210e+00,4.192945173870100461e+00
4.014540195465087891e+00,3.806312561035156250e+00,3.757233085408834938e+00,1.530257522127097616e+02,2.870121947528731621e+00,4.644344223288937812e+00
