truth,Riesz_Informed,Riesz_Oracle,Riesz,Outcome_Informed,Outcome_Oracle,covered_outcome_adapted,covered_riesz_adapted
1.000000000000000000e+00,1.395938073106746558e+00,1.352899947094658772e+00,1.146564699822386846e+00,1.141865457502574843e+00,1.113995603933880751e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.156072743284285664e+00,1.060410830500901236e+00,9.909388507115809430e-01,1.037741818830557605e+00,1.050488150497473239e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.022705851728171300e+00,8.949608800766564176e-01,9.853605818711722586e-01,9.495900011561471121e-01,9.404960786831225716e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.217379474858439448e+00,1.301479219453179681e+00,9.323836441185850976e-01,9.204775375564960838e-01,9.327012091180912901e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.240274792118579716e+00,1.207115384383356194e+00,1.068036138384747202e+00,1.041276899805636758e+00,1.045866169890214525e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.104649726630529738e+00,1.053950719254565849e+00,1.005726341707785521e+00,9.955188993015723353e-01,9.804913104557608783e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.340366522881651923e+00,1.311931066426470949e+00,1.091054242122452056e+00,1.072505499634391901e+00,1.041170750550576507e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.020779120929092620e+00,8.536601287162927099e-01,9.921139275194141849e-01,9.489775324662619305e-01,1.006239135238155002e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.454047199760730269e-01,9.581287131027838022e-01,8.506012404688401141e-01,8.426071098704224216e-01,8.489892225078923271e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,8.074029504341688757e-01,8.412143239238230041e-01,9.017514147279803716e-01,9.725777388055742989e-01,9.759146520493313659e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.643270060155687551e-01,8.394734874134421876e-01,1.025266250865382922e+00,9.740142088545982180e-01,9.601206405059898863e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.286557894028384386e-01,8.244474579234561951e-01,8.960145885447261538e-01,9.116750323688805890e-01,9.676609371426899697e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.921705864368743022e-01,7.300691458964763125e-01,9.749217626772070933e-01,9.899363218110194262e-01,1.015523205086347636e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.124819959114649492e-01,7.505068997256467700e-01,8.193354591745778404e-01,7.876735523452469412e-01,8.533504768209042579e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.159342433641139314e+00,1.110022800329441228e+00,1.040205814126766493e+00,1.003515183290558221e+00,9.858575069974678806e-01,1.000000000000000000e+00,5.999999999999999778e-01
