truth,estimate,variance,lower,upper
108.997,108.2235107421875,936.3056640625,106.32695812254772,110.12006336182728
108.997,108.75736999511719,985.5948486328125,106.81153825251769,110.70320173771668
108.997,108.25032806396484,979.2393188476562,106.31078023849491,110.18987588943477
108.997,110.74471282958984,976.5885620117188,108.8077919174656,112.6816337417141
108.997,108.70455169677734,1012.5692138671875,106.73227233218617,110.67683106136852
108.997,109.26789093017578,990.4174194335938,107.31730446490538,111.21847739544619
108.997,107.00157928466797,958.7808227539062,105.08239914494908,108.92075942438686
108.997,109.6623764038086,932.9498291015625,107.7692255742452,111.55552723337199
108.997,108.18577575683594,991.6459350585938,106.2339799109235,110.13757160274838
108.997,107.66085052490234,1001.0346069335938,105.69983687222266,109.62186417758203
108.997,106.1361083984375,1089.91357421875,104.0898894495665,108.1823273473085
108.997,109.2369613647461,1033.846923828125,107.24406740304664,111.22985532644554
108.997,107.78085327148438,943.1351928710938,105.87739637495805,109.6843101680107
108.997,108.43938446044922,987.7680053710938,106.49140869842506,110.38736022247338
108.997,108.08110809326172,1012.4134521484375,106.10898043061576,110.05323575590768
108.997,108.32129669189453,929.8157348632812,106.43132840458101,110.21126497920805
108.997,106.67869567871094,1019.0274047851562,104.70013668837917,108.6572546690427
108.997,108.06245422363281,995.7900390625,106.10658433684011,110.01832411042551
108.997,110.2043228149414,937.632080078125,108.30642729652419,112.10221833335862
108.997,108.24566650390625,1005.1661376953125,106.28061021092878,110.21072279688372
108.997,106.86115264892578,925.7182006835938,104.97535333835583,108.74695195949573
108.997,108.42117309570312,970.3697509765625,106.49042908487425,110.351917106532
108.997,108.11561584472656,979.50244140625,106.17580745756399,110.05542423188913
108.997,109.80048370361328,987.7395629882812,107.85253598738069,111.74843141984587
108.997,108.73346710205078,988.9957275390625,106.78428112146452,110.68265308263705
108.997,108.11473846435547,1064.198974609375,106.09280207048464,110.1366748582263
108.997,108.95848083496094,979.7426147460938,107.01843464251897,110.8985270274029
108.997,106.46416473388672,1018.3382568359375,104.48627488673624,108.4420545810372
108.997,106.94738006591797,985.99951171875,105.0011489069292,108.89361122490673
108.997,107.83434295654297,959.5892944335938,105.9143538332675,109.75433207981844
108.997,110.11112213134766,1544.1904296875,107.67551913523201,112.5467251274633
108.997,108.85120391845703,1066.07666015625,106.82748454619806,110.874923290716
108.997,109.03216552734375,1032.26123046875,107.04080048221296,111.02353057247454
108.997,109.39667510986328,1725.55322265625,106.82201294558692,111.97133727413964
108.997,108.10285949707031,968.6777954101562,106.17379946201498,110.03191953212564
108.997,108.94107818603516,948.648193359375,107.03206616417427,110.85009020789605
