truth,estimate,variance,lower,upper
108.997,108.27129364013672,1000.661865234375,106.3106451194976,110.23194216077584
108.997,109.00914764404297,1023.1490478515625,107.02659136937469,110.99170391871125
108.997,109.2084732055664,957.1741943359375,107.29090172450998,111.12604468662283
108.997,106.74205017089844,1009.371337890625,104.77288767591723,108.71121266587964
108.997,107.39729309082031,926.7904052734375,105.51040199144589,109.28418419019474
108.997,108.43020629882812,999.2142333984375,106.47097650142726,110.38943609622899
108.997,108.32333374023438,974.6747436523438,106.3883116485737,110.25835583189505
108.997,110.0743408203125,994.7329711914062,108.1195093231934,112.0291723174316
108.997,107.28204345703125,940.135009765625,105.38161649092189,109.18247042314061
108.997,107.545654296875,947.4252319335938,105.63787318495568,109.45343540879432
108.997,108.8921127319336,970.4139404296875,106.9613247597433,110.82290070412388
108.997,108.77973937988281,925.2417602539062,106.89442541499754,110.66505334476808
108.997,109.35212707519531,979.0774536132812,107.4127395569822,111.29151459340842
108.997,107.25165557861328,997.6492309570312,105.29396068776728,109.20935046945928
108.997,109.06133270263672,962.2483520507812,107.13868523904952,110.98398016622392
108.997,109.59659576416016,1037.3099365234375,107.60036685640723,111.59282467191308
108.997,109.28335571289062,1013.7091064453125,107.30996652083542,111.25674490494583
108.997,107.89337921142578,935.1373901367188,105.99801017138391,109.78874825146765
108.997,108.40162658691406,1101.704833984375,106.34436887572804,110.45888429810009
108.997,109.38195037841797,994.1341552734375,107.42770736105845,111.33619339577749
108.997,107.66828918457031,1006.1884155273438,105.70223389107274,109.63434447806789
108.997,108.57090759277344,977.4046020507812,106.6331776014593,110.50863758408758
108.997,106.83531188964844,994.266357421875,104.88093893683931,108.78968484245756
108.997,109.3546371459961,1064.5457763671875,107.33237132407945,111.37690296791274
108.997,109.43379211425781,972.2144775390625,107.5012137492454,111.36637047927023
108.997,108.33075714111328,941.2486572265625,106.42920492210861,110.23230936011795
108.997,111.38594055175781,1013.2577514648438,109.41299073535919,113.35889036815644
108.997,108.60090637207031,989.2704467773438,106.6514496917771,110.55036305236352
108.997,108.44049835205078,950.4483642578125,106.5296759018653,110.35132080223626
108.997,108.81472778320312,949.7586059570312,106.90459881880189,110.72485674760436
108.997,108.9761734008789,980.1316528320312,107.03574206802543,110.91660473373238
108.997,108.78678894042969,949.4360961914062,106.8769843150481,110.69659356581127
108.997,110.99293518066406,981.5875854492188,109.05106317966562,112.9348071816625
108.997,108.76256561279297,986.53662109375,106.81580443494045,110.70932679064549
