truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.033030102594927113e+00,1.056178768663865952e+00,1.378991512157647703e+00,9.967507517408420448e-01,1.115606785586889860e+00,1.047846997289458848e+00,9.670508035475744446e-01,9.980807278096304191e-01,1.097613266769287277e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.018553556383528846e+00,1.008966364093665247e+00,1.681260371011668919e+00,9.433476175787735007e-01,1.074585110608556882e+00,1.000823607998347686e+00,7.692392998338697385e-01,9.564381021490895307e-01,1.045209113847605842e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.019388848986747309e+00,9.791419823039619885e-01,2.181449985919508894e+00,9.043968229694677730e-01,1.053887141638456093e+00,9.981082982677417226e-01,9.932734911838587699e-01,9.476718072205385646e-01,1.048544789314944881e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.013101787938033738e+00,1.000118751214022161e+00,2.825424259896813339e+00,9.150534827949249328e-01,1.085184019633119501e+00,9.998239983874500636e-01,9.170088599650753070e-01,9.513624587472925276e-01,1.048285538027607489e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.999257177068915370e-01,1.018165442110206653e+00,2.669347776742198253e+00,9.354830521305065316e-01,1.100847832089906886e+00,1.002823768089955214e+00,8.871309563029569079e-01,9.551582509821379130e-01,1.050489285197772515e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.012281278514645333e+00,9.429755556387086068e-01,2.236083372394908952e+00,8.673002056961534034e-01,1.018650905581263810e+00,9.742226003297620451e-01,1.018223410405384444e+00,9.231565838842933358e-01,1.025288616775230865e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.012699785273660780e+00,1.018309599020156941e+00,2.039239812079177483e+00,9.460418392094669393e-01,1.090577358830846944e+00,9.984971277256008415e-01,8.872018977069811019e-01,9.508297048162305254e-01,1.046164550634971047e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.966021007118238684e-01,9.825328353900828482e-01,1.495710279574815393e+00,9.206408832475809767e-01,1.044424787532584720e+00,9.947425117532614491e-01,9.377814477980318530e-01,9.457351571360823606e-01,1.043749866370440538e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009631459507563056e+00,9.506107850856495567e-01,3.199433134150440505e+00,8.600902815955476788e-01,1.041131288575751546e+00,1.015230979963343216e+00,8.742400011873915355e-01,9.679130454595247235e-01,1.062548914467161598e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.935680486288352986e-01,9.839503402114629926e-01,1.715516593722700600e+00,9.176664631047581899e-01,1.050234217318167795e+00,9.923399638229720710e-01,9.048854037610657430e-01,9.441998366448509650e-01,1.040480091001093177e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.000685508611417029e+00,1.022506199159980422e+00,2.344334408614636711e+00,9.450207378822500504e-01,1.099991660437710905e+00,1.015669641395682055e+00,1.143353986082092488e+00,9.615567429152337420e-01,1.069782539876130478e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.003588637209169132e+00,1.033616009732711616e+00,1.398967672566415743e+00,9.737591014099951092e-01,1.093472918055428122e+00,1.023168908191017801e+00,8.227730420720600346e-01,9.772649147668865943e-01,1.069072901615149007e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.014815535744590935e+00,1.025877598891268727e+00,1.183196010791177644e+00,9.708299480479288812e-01,1.080925249734608684e+00,1.020021913322346485e+00,9.084673739157724803e-01,9.717865994010098651e-01,1.068257227243682994e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009617718781833595e+00,1.005969633305638045e+00,1.618152826191456617e+00,9.415941933868973157e-01,1.070345073224378885e+00,1.011826683822071526e+00,1.008620848077181664e+00,9.610020319952706780e-01,1.062651335648872486e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.007620413676814319e+00,1.043395056565232792e+00,4.578444492833703805e+00,9.351097778992019105e-01,1.151680335231263674e+00,9.924723205354254452e-01,9.055018498657804171e-01,9.443157986064462106e-01,1.040628842464404569e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.018011678965994093e+00,9.718920415329896922e-01,1.783776466615611955e+00,9.043023200552849916e-01,1.039481763010694282e+00,9.970250529643758242e-01,8.998188817745728096e-01,9.490198850743440939e-01,1.045030220854407554e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.826604662782271182e-01,9.226630451728400351e-01,2.660816572420430681e+00,8.401128869068487104e-01,1.005213203438831471e+00,9.848676957341349070e-01,1.007365068865215818e+00,9.340746932728206664e-01,1.035660698195449259e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.981689740145610612e-01,9.812121085517842012e-01,1.530212279396780506e+00,9.186103860380456787e-01,1.043813831065522724e+00,1.010993523418011852e+00,9.565665807066033866e-01,9.614977581012194019e-01,1.060489288734804303e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.006405898357678685e+00,9.163343714361708026e-01,2.165906975409412016e+00,8.418559708234973904e-01,9.908127720488442147e-01,9.648412381838084029e-01,1.019482099570544698e+00,9.137436685500824884e-01,1.015938807817534428e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.014044316048340999e+00,9.702708355283050645e-01,1.634301739758796224e+00,9.055749646479189785e-01,1.034966706408691151e+00,9.668112205992844821e-01,8.515323860300072489e-01,9.201118500526852539e-01,1.013510591145883710e+00
