truth,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,9.884019770305009223e-01,1.067351567781715582e+00,1.369345723731474118e+00,9.647798510924953108e-01,1.169923284470935743e+00,9.956481602810431930e-01,1.147754120945438938e+00,9.017416937196396365e-01,1.089554626842446750e+00
1.000000000000000000e+00,1.050585875597553231e+00,1.027684087670002189e+00,4.359387491863000896e+00,8.446703013655769698e-01,1.210697873974427408e+00,1.066617654273510629e+00,1.368735292762510269e+00,9.640688024937227318e-01,1.169166506053298527e+00
1.000000000000000000e+00,9.777302998749254348e-01,1.022419246704556750e+00,1.873025167340038655e+00,9.024574737695630899e-01,1.142381019639550521e+00,1.051746581110150958e+00,1.096007317288794969e+00,9.599814274831163230e-01,1.143511734737185481e+00
1.000000000000000000e+00,1.018668362325100274e+00,1.003484509553652204e+00,1.574431323656342085e+00,8.934996435678430604e-01,1.113469375539461348e+00,1.030336894953586047e+00,1.143811458680033866e+00,9.365918566884573471e-01,1.124081933218714635e+00
1.000000000000000000e+00,1.016279979435920744e+00,9.652645003020144943e-01,4.635646022255594190e+00,7.765409047496983908e-01,1.153988095854330487e+00,1.088710452155418729e+00,1.256657730361432135e+00,9.904498157137949788e-01,1.186971088597042367e+00
1.000000000000000000e+00,9.882751446788904381e-01,9.341356796024509190e-01,2.020371171109186736e+00,8.095446856186716555e-01,1.058726673586230183e+00,9.406042683069478771e-01,9.881808439115418174e-01,8.534699406286949674e-01,1.027738595985200787e+00
1.000000000000000000e+00,1.063834411344303676e+00,1.059396273550164080e+00,2.631693244769369944e+00,9.171998406194747933e-01,1.201592706480853368e+00,1.054221699765078846e+00,1.254101507585218878e+00,9.560610523391436244e-01,1.152382347191013956e+00
1.000000000000000000e+00,1.041237477118774013e+00,9.956603317106652584e-01,3.495825775818194980e+00,8.317727830659731314e-01,1.159547880355357385e+00,1.033187298755604999e+00,1.341377197062981752e+00,9.316684863094661928e-01,1.134706111201743806e+00
1.000000000000000000e+00,1.041147057723453173e+00,1.069179345330843134e+00,1.709720938185183003e+00,9.545663970559453704e-01,1.183792293605741008e+00,1.037084519718793452e+00,1.066027105317950419e+00,9.465831415216694467e-01,1.127585897915917457e+00
1.000000000000000000e+00,1.002507058896805470e+00,9.149841822154938242e-01,1.857169560329021696e+00,7.955312409962842501e-01,1.034437123434703398e+00,9.686533259010855490e-01,9.904501556868007262e-01,8.814190056127217954e-01,1.055887646189449303e+00
1.000000000000000000e+00,9.631995737167755589e-01,9.259244948207606685e-01,1.519634071710042722e+00,8.178705615292668485e-01,1.033978428112254599e+00,9.170537899626319822e-01,1.377540537058755010e+00,8.141756122263898998e-01,1.019931967698874065e+00
1.000000000000000000e+00,9.879166973675067576e-01,1.050734523677058885e+00,2.951960043141098389e+00,9.001340608508719976e-01,1.201334986503245661e+00,9.880785456746283835e-01,1.254503578757158344e+00,8.899021641141583450e-01,1.086254927235098311e+00
1.000000000000000000e+00,1.024524331674069311e+00,1.096221968539466518e+00,5.536400598353012903e+00,8.899763065795943673e-01,1.302467630499338780e+00,1.071557195958020348e+00,1.030670686594347352e+00,9.825692809400714545e-01,1.160545110975969241e+00
1.000000000000000000e+00,9.778156013715313399e-01,1.016671239117480585e+00,2.570885630053539206e+00,8.761271945164113006e-01,1.157215283718549870e+00,1.025889852238188071e+00,1.227341219149733265e+00,9.287821385642928140e-01,1.122997565912083440e+00
1.000000000000000000e+00,9.842657535133904068e-01,9.299611623578655228e-01,1.139394398870095193e+00,8.363973069146511952e-01,1.023525017801079962e+00,9.074456485856571275e-01,1.101138124291753062e+00,8.154659528014330805e-01,9.994253443698811745e-01
