truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.006836046160477727e+00,9.849897201078251507e-01,2.818052614141264733e+00,9.000354935208562113e-01,1.069943946694793979e+00,9.991198634628190023e-01,7.785695271318436861e-01,9.544659894582067095e-01,1.043773737467431406e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.012931221036814433e+00,1.037116763970318933e+00,1.416358749321195099e+00,9.768889532768511019e-01,1.097344574663786876e+00,1.015752180852887765e+00,8.938837687712329894e-01,9.679055934711906506e-01,1.063598768234584879e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.009932783198949746e+00,1.008356934652907100e+00,1.504277956831086671e+00,9.462879719368962883e-01,1.070425897368917800e+00,9.932873028003397220e-01,8.508585935784173104e-01,9.466064118270456351e-01,1.039968193773633809e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.010073847186189200e+00,1.012097190347398756e+00,1.048587170782637301e+00,9.602753643453586507e-01,1.063919016349438751e+00,1.010167021631975803e+00,8.014693723682482229e-01,9.648612108134221321e-01,1.055472832450529364e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.893392139326222523e-01,1.001456249028283452e+00,1.654822081054922789e+00,9.363554835100982299e-01,1.066557014546468674e+00,9.874462585083875199e-01,8.096621983859367822e-01,9.419094726364545256e-01,1.032983044380320514e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.042844587227857112e+00,1.059749992224874537e+00,1.642147047604834320e+00,9.948990241103905507e-01,1.124600960339358524e+00,1.036576532694730934e+00,7.592311792967608719e-01,9.924807090195691961e-01,1.080672356369892784e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.826970067873095349e-01,1.013943444534892269e+00,1.285697217144793569e+00,9.565609011418391150e-01,1.071325987927945311e+00,9.958482214274945177e-01,7.803404627318029085e-01,9.511435913792135599e-01,1.040552851475775364e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.003821687754742120e+00,1.077066509758318524e+00,2.253912048386939038e+00,1.001090072511483964e+00,1.153042947005153085e+00,1.017143059288332818e+00,7.544812652432595357e-01,9.731853885238461732e-01,1.061100730052819463e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.904195495052535714e-01,9.388550093818214259e-01,1.347684435615039034e+00,8.801054588708672188e-01,9.976045598927756330e-01,9.751640216313992582e-01,8.318026992260756369e-01,9.290088251067254443e-01,1.021319218156073072e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.996020965931320390e-01,9.892969310838704011e-01,1.097625352356425443e+00,9.362772017144338488e-01,1.042316660453306953e+00,1.017463219332294555e+00,7.622835613027278967e-01,9.732788440464497093e-01,1.061647594618139401e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.015294215537402511e+00,9.967115461301547796e-01,1.067320717648838846e+00,9.444288576700804461e-01,1.048994234590229002e+00,1.002519576368011034e+00,8.297698799651568313e-01,9.564208130377137573e-01,1.048618339698308422e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.043387020415178501e+00,1.032014497926056595e+00,2.210555170584501461e+00,9.567723610464355932e-01,1.107256634805677598e+00,1.041687394887028217e+00,7.347266603932657292e-01,9.983090136465472275e-01,1.085065776127509096e+00
