truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,5.000000000000000000e+02,9.778156013715313399e-01,1.016671239117480585e+00,2.570885630053539206e+00,8.761271945164113006e-01,1.157215283718549870e+00,1.025919123683240120e+00,1.229355972770008743e+00,9.287317386480076209e-01,1.123106508718472618e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.842657535133904068e-01,9.299611623578655228e-01,1.139394398870095193e+00,8.363973069146511952e-01,1.023525017801079962e+00,9.073438412595005165e-01,1.103137502907024059e+00,8.152806778208305793e-01,9.994070046981704536e-01
1.000000000000000000e+00,5.000000000000000000e+02,1.035074750082165096e+00,1.006478978711724093e+00,1.577707251775229524e+00,8.963797491193266076e-01,1.116578208304121578e+00,1.033583164954729350e+00,1.157257516971696543e+00,9.392887273966371575e-01,1.127877602512821431e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.039946891086034775e+00,1.122613614943275273e+00,2.949746991005242513e+00,9.720696144607203770e-01,1.273157615425830169e+00,1.073837950661191476e+00,1.259655726983567980e+00,9.754601743010797854e-01,1.172215727021303167e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.028857196051993661e+00,1.006412886900579506e+00,3.001901117763930316e+00,8.545438424313268611e-01,1.158281931369832041e+00,1.036723935264638019e+00,1.158350296487611120e+00,9.423849878570396132e-01,1.131062882672236425e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.670721574220030314e-01,8.996530370920866604e-01,8.364345113319267000e+00,6.461477385781215776e-01,1.153158335606051743e+00,9.494258717817861681e-01,1.295626527974386599e+00,8.496533417961593670e-01,1.049198401767412969e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.800063988922619318e-01,1.017953908852595291e+00,1.667686252865463237e+00,9.047586482715270773e-01,1.131149169433663504e+00,9.968012397629171240e-01,1.210425243243583138e+00,9.003650472370344771e-01,1.093237432288799660e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.969073388588706175e-01,1.035813583439834096e+00,1.450572189004672108e+00,9.302435297192799268e-01,1.141383637160388265e+00,1.039456308092930215e+00,1.194859692212596247e+00,9.436421860272983242e-01,1.135270430158562105e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.031893261002218232e+00,9.958230396001663820e-01,2.386375050329371472e+00,8.604162569536142335e-01,1.131229822246718530e+00,9.863297033212562459e-01,9.333539255187158767e-01,9.016470906989156875e-01,1.071012315943596915e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.904792392296781767e-01,1.025102793939237422e+00,1.948100787988149785e+00,9.027604546847072253e-01,1.147445133193767619e+00,1.048483791584957192e+00,1.571399361009927054e+00,9.386048783644876936e-01,1.158362704805426802e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.863165757707949011e-01,9.398082651687283962e-01,3.021664878763960616e+00,7.874401070892947940e-01,1.092176423248162109e+00,9.329291948965732217e-01,1.350142802129196351e+00,8.310792210265763869e-01,1.034779168766570168e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.870524652107560692e-01,9.197981659828068368e-01,3.173028210746618338e+00,7.636603731560590580e-01,1.075935958809554727e+00,9.642606082651522525e-01,1.233104516830770825e+00,8.669251644447526495e-01,1.061596052085551856e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.816991227150292376e-01,9.628515798961395644e-01,1.551066947952220110e+00,8.536858454621767400e-01,1.072017314330102389e+00,9.626392751385913771e-01,1.273098099937856720e+00,8.637379742298443297e-01,1.061540576047338424e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.882173084640542005e-01,9.178925226873098087e-01,1.995685311433403664e+00,7.940650241871578530e-01,1.041720021187461764e+00,1.003903876742310963e+00,1.153765326806356128e+00,9.097518201587259101e-01,1.098055933325895905e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.720237953598209746e-01,1.014018732207028206e+00,2.987219696292181759e+00,8.625215164882167329e-01,1.165515947925839679e+00,9.151875465157225387e-01,1.361152322288822658e+00,8.129231562197378747e-01,1.017451936811707203e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.585975721630105584e-01,9.396105826715784870e-01,1.909880992926753951e+00,8.184743055088109509e-01,1.060746859834345912e+00,9.307276052578125070e-01,1.190082911297591917e+00,8.351051966702766061e-01,1.026350013845348297e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.990764359821164842e-01,1.035869603691599972e+00,1.872628584686367947e+00,9.159205314073080029e-01,1.155818675975891940e+00,1.005072393028701772e+00,1.102681769144852941e+00,9.130282483551065420e-01,1.097116537702297112e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.002904983527845850e+00,1.075842203497239913e+00,7.241544353031871495e+00,8.399646217451486319e-01,1.311719785249331194e+00,9.979279894240987714e-01,1.552852176304810650e+00,8.886994499255541635e-01,1.107156528922643268e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.789293809467021212e-01,9.192130234420364809e-01,2.759747535628715553e+00,7.735981469158292878e-01,1.064827899968243674e+00,9.886249978975601982e-01,1.124474110349758194e+00,8.956757672141421045e-01,1.081574228580978181e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.955679892462232505e-01,9.852066178213965131e-01,3.389807343850217869e+00,8.238233231956205715e-01,1.146589912447172344e+00,9.700428789248176642e-01,1.414188442436529636e+00,8.658052051166961194e-01,1.074280552732939098e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.044709528584793157e+00,1.016374598455568545e+00,1.380857546343876363e+00,9.133726339108606540e-01,1.119376563000276548e+00,1.045468419720710695e+00,1.491765756216364869e+00,9.384098625748124034e-01,1.152526976866609099e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.662025759977437289e-01,8.695537879070461829e-01,2.595115578302795267e+00,7.283490004130803719e-01,1.010758575401011994e+00,9.367998182633116011e-01,1.045488212324245492e+00,8.471745147328373360e-01,1.026425121793785866e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.000337560254161762e+00,9.817254907394886709e-01,2.676632217919896917e+00,8.383201189547394572e-01,1.125130862524237774e+00,1.031821787806188606e+00,1.070858492280813978e+00,9.411155588696268337e-01,1.122528016742750268e+00
